pid,age,gender,country,login_count_24h,repeat_login_count_24h,active_days_24h,avg_login_gap_minutes,jobs_started_24h,unique_jobs_started_24h,career_jobs_started_24h,special_jobs_started_24h,freeplay_jobs_started_24h,challenge_jobs_started_24h,jobs_completed_24h,career_jobs_completed_24h,special_jobs_completed_24h,freeplay_jobs_completed_24h,challenge_jobs_completed_24h,tasks_completed_24h,subtasks_completed_24h,jobs_exited_24h,avg_session_length_exit,max_session_length_exit,avg_session_length,max_session_length,distinct_jobs_played,interruption_count,avg_interruption_session,longest_interrupted_session,career_play_ratio,special_play_ratio,freeplay_ratio,challenge_ratio,retained
p10771,40,Male,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10772,28,Female,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
p10773,41,Female,Canada,2,1,1,153.0166666666666667,2,2,2,0,0,0,2,2,0,0,0,2,115,4,158.7500000000000000,244,120.5000000000000000,241,2,4,158.7500000000000000,244,1,0,0,0,1
p10774,40,Male,Canada,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,31,1,25.0000000000000000,25,0.00000000000000000000,0,1,1,25.0000000000000000,25,0,1,0,0,1
p10775,18,Male,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10776,21,Male,Austria,2,1,2,709.2333333333333333,3,3,3,0,0,0,2,2,0,0,0,2,140,4,41.7500000000000000,70,16.0000000000000000,27,3,4,41.7500000000000000,70,1,0,0,0,1
p10778,25,Male,USA,3,2,1,126.9333333333333334,7,6,4,2,1,0,5,3,2,0,0,6,263,8,46.2500000000000000,101,33.0000000000000000,95,6,8,46.2500000000000000,101,0.5714285714285714,0.2857142857142857,0.14285714285714285,0,0
p10779,22,Male,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p1078,23,Male,Philippines,2,1,2,907.7500000000000000,4,4,4,0,0,0,3,3,0,0,0,3,205,3,32.0000000000000000,81,4.2500000000000000,11,4,3,32.0000000000000000,81,1,0,0,0,1
p10780,41,Non-binary,UK,5,4,2,327.8291666666666667,12,12,12,0,0,0,11,11,0,0,0,19,932,13,103.6923076923076923,252,77.0000000000000000,235,12,13,103.6923076923076923,252,1,0,0,0,1
p10781,37,Male,USA,1,0,1,0,2,2,2,0,0,0,2,2,0,0,0,2,123,2,78.5000000000000000,153,2.0000000000000000,4,2,2,78.5000000000000000,153,1,0,0,0,0
p10782,19,Male,USA,1,0,1,0,4,4,4,0,0,0,4,4,0,0,0,4,427,5,43.2000000000000000,66,37.5000000000000000,65,4,5,43.2000000000000000,66,1,0,0,0,1
p10783,22,Male,USA,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,8,57,1,53.0000000000000000,53,0.00000000000000000000,0,1,1,53.0000000000000000,53,1,0,0,0,1
p10784,35,Male,USA,1,0,1,0,2,2,2,0,0,0,1,1,0,0,0,6,79,2,81.5000000000000000,99,32.0000000000000000,64,2,2,81.5000000000000000,99,1,0,0,0,0
p10785,19,Male,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10786,49,Male,USA,3,2,1,212.8750000000000000,9,9,9,0,0,0,9,9,0,0,0,13,834,12,76.9166666666666667,172,59.8888888888888889,88,9,12,76.9166666666666667,172,1,0,0,0,1
p10787,19,Transgender,USA,2,1,1,387.0500000000000000,4,3,1,3,0,0,2,1,1,0,0,3,186,5,37.0000000000000000,82,23.5000000000000000,58,3,5,37.0000000000000000,82,0.25,0.75,0,0,1
p10789,25,Male,USA,1,0,1,0,1,1,1,0,0,0,2,2,0,0,0,2,128,2,204.0000000000000000,257,0.00000000000000000000,0,1,2,204.0000000000000000,257,1,0,0,0,1
p1079,35,Female,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10790,21,Male,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
p10891,23,Male,Norway,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,30,1,6.0000000000000000,6,1.00000000000000000000,1,1,1,6.0000000000000000,6,1,0,0,0,0
p10791,38,Male,Germany,3,2,1,2.3833333333333334,5,5,5,0,0,0,4,4,0,0,0,6,212,5,109.4000000000000000,174,75.2000000000000000,169,5,5,109.4000000000000000,174,1,0,0,0,1
p10792,18,Male,,5,4,2,310.9541666666666667,10,10,10,0,0,0,10,10,0,0,0,18,725,13,52.8461538461538462,151,29.6000000000000000,82,10,13,52.8461538461538462,151,1,0,0,0,1
p10793,21,Non-binary,UK,1,0,1,0,2,2,2,0,0,0,1,1,0,0,0,1,88,2,34.0000000000000000,51,9.0000000000000000,17,2,2,34.0000000000000000,51,1,0,0,0,0
p10794,24,Female,Belgium,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,13,0,0,0,1.00000000000000000000,1,1,0,0,0,1,0,0,0,0
p10795,28,Male,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
p10796,18,Male,Canada,2,1,2,963.3333333333333333,3,3,3,0,0,0,3,3,0,0,0,11,218,5,57.2000000000000000,87,50.3333333333333333,87,3,5,57.2000000000000000,87,1,0,0,0,1
